arraySize,operation,sequentialTime,cudaTime
100000000,And,757.087,492.253
100000000,And2,766.731,491.046
100000000,Or,762.326,492.252
100000000,Or2,836.848,491.183
100000000,Not,677.163,381.334
100000000,Not2,1421.6,372.738
100000000,Not3,4398.15,381.652
100000000,And,756.817,492.262
100000000,And2,761.864,490.892
100000000,Or,755.315,492.166
100000000,Or2,827.364,490.854
100000000,Not,674.161,381.632
100000000,Not2,1427.12,381.523
100000000,Not3,4436.61,373.299
100000000,And,766.896,492.396
100000000,And2,767.568,490.749
100000000,Or,756.799,492.533
100000000,Or2,828.681,490.893
100000000,Not,670.19,382.178
100000000,Not2,1427.62,372.962
100000000,Not3,4435.18,373.169
100000000,And,771.702,493.279
100000000,And2,779.589,491.247
100000000,Or,760.369,492.25
100000000,Or2,838.501,491.004
100000000,Not,677.383,381.519
100000000,Not2,1445.83,373.47
100000000,Not3,4431.06,373.174
100000000,And,763.371,492.345
100000000,And2,766.103,513.695
100000000,Or,774.206,492.257
100000000,Or2,838.074,491.065
100000000,Not,679.356,381.824
100000000,Not2,1445.74,381.622
100000000,Not3,4431.3,380.909
100000000,And,768.956,492.22
100000000,And2,774.201,490.989
100000000,Or,773.733,492.199
100000000,Or2,837.906,491.116
100000000,Not,681.033,380.755
100000000,Not2,1449.51,383.398
100000000,Not3,4496.08,372.758
100000000,And,772.394,492.502
100000000,And2,775.5,490.974
100000000,Or,778.128,492.138
100000000,Or2,847.743,491.242
100000000,Not,683.237,381.955
100000000,Not2,1449.31,381.292
100000000,Not3,4461.44,373.007
100000000,And,766.75,492.859
100000000,And2,778.628,491.026
100000000,Or,768.972,492.034
100000000,Or2,841.278,490.948
100000000,Not,683.664,381.742
100000000,Not2,1451.47,372.932
100000000,Not3,4486.09,372.665
100000000,And,776.423,492.136
100000000,And2,776.364,491.184
100000000,Or,774.649,492.136
100000000,Or2,845.773,499.389
100000000,Not,681.295,381.58
100000000,Not2,1447.3,372.649
100000000,Not3,4497.6,372.924
100000000,And,777.131,491.979
100000000,And2,781.263,491.209
100000000,Or,775.409,492.23
100000000,Or2,852.647,491.011
100000000,Not,694.802,373.434
100000000,Not2,1471.94,372.664
100000000,Not3,4525.7,373.348
100000000,And,782.646,493.047
100000000,And2,801.79,491.709
100000000,Or,792.459,494.096
100000000,Or2,853.26,491.449
100000000,Not,696.402,382.129
100000000,Not2,1477,372.897
100000000,Not3,4574.28,372.77
100000000,And,793.046,492.833
100000000,And2,806.906,491.372
100000000,Or,790.321,492.836
100000000,Or2,874.198,491.095
100000000,Not,696.084,382.328
100000000,Not2,1469,381.579
100000000,Not3,4563.81,372.562
100000000,And,785.437,492.243
100000000,And2,799.687,491.039
100000000,Or,787.604,493.314
100000000,Or2,864.171,491.236
100000000,Not,699.826,380.905
100000000,Not2,1480.75,381.878
100000000,Not3,4577.35,381.662
100000000,And,782.853,492.326
100000000,And2,789.462,491.429
100000000,Or,791.827,492.159
100000000,Or2,871.358,491.671
100000000,Not,699.142,380.831
100000000,Not2,1495.47,381.842
100000000,Not3,4619.69,381.23
100000000,And,793.935,492.166
100000000,And2,797.378,491.19
100000000,Or,783.973,492.538
100000000,Or2,858.279,490.979
100000000,Not,691.758,372.678
100000000,Not2,1457.32,373.176
100000000,Not3,4574.78,372.961
100000000,And,787.478,492.31
100000000,And2,794.183,490.884
100000000,Or,783.962,492.579
100000000,Or2,864.709,491.357
100000000,Not,699.885,381.716
100000000,Not2,1497.17,372.906
100000000,Not3,4622.35,373.036
100000000,And,791.373,492.501
100000000,And2,803.131,491.149
100000000,Or,802.83,492.564
100000000,Or2,868.364,491.078
100000000,Not,699.986,381.543
100000000,Not2,1490.14,381.54
100000000,Not3,4619.7,382.514
100000000,And,808.238,493.282
100000000,And2,817.009,492.218
100000000,Or,793.064,492.58
100000000,Or2,871.987,492.766
100000000,Not,702.926,381.055
100000000,Not2,1498.35,380.61
100000000,Not3,4640.57,382.382
100000000,And,799.265,492.654
100000000,And2,800.939,490.986
100000000,Or,797.474,492.856
100000000,Or2,883.923,491.44
100000000,Not,705.688,381.466
100000000,Not2,1503.88,373.332
100000000,Not3,4635.31,373.186
100000000,And,799.829,492.87
100000000,And2,808.894,491.429
100000000,Or,799.394,492.683
100000000,Or2,873.009,491.281
100000000,Not,704.555,381.765
100000000,Not2,1493.88,382.42
100000000,Not3,4630.79,382.004
100000000,And,804.11,492.357
100000000,And2,801.844,491.048
100000000,Or,796.52,493.97
100000000,Or2,878.093,491.569
100000000,Not,706.907,377.97
100000000,Not2,1514.43,373.596
100000000,Not3,4619.65,373.217
100000000,And,794.886,503.698
100000000,And2,798.491,491.109
100000000,Or,855.63,498.462
100000000,Or2,871.652,505.008
100000000,Not,724.294,396.9
100000000,Not2,1516.27,382.522
100000000,Not3,4815.13,387.949
100000000,And,820.927,532.258
100000000,And2,903.173,493.231
100000000,Or,829.91,493.65
100000000,Or2,895.914,492.609
